"sample","strandedness","spearman_cor","pearson_cor_log","level","metric"
"0b72f9e4-598b-4eb2-addc-9d23aeadd6a8","unstranded",0.948030491897746,0.986887235614545,"Gene","Raw Count"
"2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c","unstranded",0.954026705549677,0.990807668099997,"Gene","Raw Count"
"2ea4421b-3693-4689-947f-da0c9da8b888","unstranded",0.947782246545157,0.987398204960125,"Gene","Raw Count"
"364ef418-4b6a-4a3e-84f9-57ca755e1101","unstranded",0.941926199375992,0.98515910351004,"Gene","Raw Count"
"4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9","unstranded",0.949140500647226,0.988343544765161,"Gene","Raw Count"
"514a93da-9c6d-4030-8ce2-d470861690d3","unstranded",0.947359607853627,0.989096186715048,"Gene","Raw Count"
"5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22","unstranded",0.944062774289825,0.984832474070475,"Gene","Raw Count"
"7cb4e820-bf76-406f-a0df-dc6d06b2e935","unstranded",0.946958592130861,0.986439604787482,"Gene","Raw Count"
"8982e051-d476-4b65-a541-663f3f2892f2","unstranded",0.943625595705217,0.984876272817155,"Gene","Raw Count"
"a4a420c8-a195-4077-b621-6f8bfa02b39b","unstranded",0.950249050332336,0.986873142954955,"Gene","Raw Count"
"a71a46bf-206a-4ef4-8878-1451e351a6bf","unstranded",0.949483784391238,0.985681277335712,"Gene","Raw Count"
"b0a12dfa-fb35-4b78-9886-47354d0f521e","unstranded",0.93545885410843,0.986745045974006,"Gene","Raw Count"
"cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe","unstranded",0.946597095202814,0.987090695611478,"Gene","Raw Count"
"d90389dc-120f-4e74-b3f0-8d3ac60bd3c4","unstranded",0.95152151784542,0.98753566641174,"Gene","Raw Count"
"dbd793a8-1b32-480d-9366-bb7b45c14549","unstranded",0.941122372939983,0.984000663390196,"Gene","Raw Count"
"e96d9259-bbe6-461a-9f11-37f985253dea","unstranded",0.94645916869051,0.985548470982059,"Gene","Raw Count"
"e9fae13c-4513-4afe-a03f-a2f90bff3f3c","unstranded",0.942840010836407,0.986311314922558,"Gene","Raw Count"
"ERR2539101","reverse",0.93644974381437,0.978144767980093,"Gene","Raw Count"
"ERR2539158","reverse",0.984956228262156,0.993898513789399,"Gene","Raw Count"
"SRR11355830","reverse",0.978338386945766,0.994944894284501,"Gene","Raw Count"
"SRR14189737","unstranded",0.949630778774779,0.987052323345748,"Gene","Raw Count"
"SRR7411440","reverse",0.970108497303229,0.992061991477764,"Gene","Raw Count"
"SRR7411445","reverse",0.977113229588851,0.994739964654143,"Gene","Raw Count"
"SRR7961323","unstranded",0.973329017439486,0.986932599615117,"Gene","Raw Count"
"SRR8528594","reverse",0.955155373793279,0.990288848832633,"Gene","Raw Count"
"0b72f9e4-598b-4eb2-addc-9d23aeadd6a8","unstranded",0.948030491897746,0.997196121385101,"Gene","CPM"
"2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c","unstranded",0.954026705549677,0.997183061655121,"Gene","CPM"
"2ea4421b-3693-4689-947f-da0c9da8b888","unstranded",0.947782246545157,0.996765611731979,"Gene","CPM"
"364ef418-4b6a-4a3e-84f9-57ca755e1101","unstranded",0.941926199375992,0.996964408558388,"Gene","CPM"
"4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9","unstranded",0.949140500647226,0.997061074700736,"Gene","CPM"
"514a93da-9c6d-4030-8ce2-d470861690d3","unstranded",0.947359607853627,0.997246533831265,"Gene","CPM"
"5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22","unstranded",0.944062774289825,0.996802333946596,"Gene","CPM"
"7cb4e820-bf76-406f-a0df-dc6d06b2e935","unstranded",0.946958592130861,0.997075843441116,"Gene","CPM"
"8982e051-d476-4b65-a541-663f3f2892f2","unstranded",0.943625595705217,0.996624373760258,"Gene","CPM"
"a4a420c8-a195-4077-b621-6f8bfa02b39b","unstranded",0.950249050332336,0.997027556801491,"Gene","CPM"
"a71a46bf-206a-4ef4-8878-1451e351a6bf","unstranded",0.949483784391238,0.995105030525466,"Gene","CPM"
"b0a12dfa-fb35-4b78-9886-47354d0f521e","unstranded",0.93545885410843,0.997050701427167,"Gene","CPM"
"cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe","unstranded",0.946597095202814,0.997205152756499,"Gene","CPM"
"d90389dc-120f-4e74-b3f0-8d3ac60bd3c4","unstranded",0.95152151784542,0.996742604028323,"Gene","CPM"
"dbd793a8-1b32-480d-9366-bb7b45c14549","unstranded",0.941122372939983,0.996402237730738,"Gene","CPM"
"e96d9259-bbe6-461a-9f11-37f985253dea","unstranded",0.94645916869051,0.997256158701792,"Gene","CPM"
"e9fae13c-4513-4afe-a03f-a2f90bff3f3c","unstranded",0.942840010836407,0.997140253695172,"Gene","CPM"
"ERR2539101","reverse",0.93644974381437,0.989882240111377,"Gene","CPM"
"ERR2539158","reverse",0.984956228262156,0.998820475639529,"Gene","CPM"
"SRR11355830","reverse",0.978338386945766,0.998055871090564,"Gene","CPM"
"SRR14189737","unstranded",0.949630778774779,0.996318092421538,"Gene","CPM"
"SRR7411440","reverse",0.970108497303229,0.99612459091917,"Gene","CPM"
"SRR7411445","reverse",0.977113229588851,0.998331111167633,"Gene","CPM"
"SRR7961323","unstranded",0.973329017439486,0.993726839657867,"Gene","CPM"
"SRR8528594","reverse",0.955155373793279,0.997506277952174,"Gene","CPM"
"0b72f9e4-598b-4eb2-addc-9d23aeadd6a8","unstranded",0.887651485179671,0.941400528543268,"Transcript","Raw Count"
"2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c","unstranded",0.908521416821312,0.962777868560875,"Transcript","Raw Count"
"2ea4421b-3693-4689-947f-da0c9da8b888","unstranded",0.888256170369242,0.946322085206671,"Transcript","Raw Count"
"364ef418-4b6a-4a3e-84f9-57ca755e1101","unstranded",0.883524675517214,0.942111689565522,"Transcript","Raw Count"
"4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9","unstranded",0.877378237728988,0.942689483807324,"Transcript","Raw Count"
"514a93da-9c6d-4030-8ce2-d470861690d3","unstranded",0.896924486855357,0.95486959520249,"Transcript","Raw Count"
"5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22","unstranded",0.888407265033329,0.944663728559328,"Transcript","Raw Count"
"7cb4e820-bf76-406f-a0df-dc6d06b2e935","unstranded",0.883160105219713,0.938370374142044,"Transcript","Raw Count"
"8982e051-d476-4b65-a541-663f3f2892f2","unstranded",0.87963082349986,0.934781835758271,"Transcript","Raw Count"
"a4a420c8-a195-4077-b621-6f8bfa02b39b","unstranded",0.89328449828782,0.942882783061082,"Transcript","Raw Count"
"a71a46bf-206a-4ef4-8878-1451e351a6bf","unstranded",0.873960041312345,0.933292011697457,"Transcript","Raw Count"
"b0a12dfa-fb35-4b78-9886-47354d0f521e","unstranded",0.869094819506217,0.943914699364791,"Transcript","Raw Count"
"cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe","unstranded",0.883470860724103,0.945132390250513,"Transcript","Raw Count"
"d90389dc-120f-4e74-b3f0-8d3ac60bd3c4","unstranded",0.893492793200052,0.944031825748097,"Transcript","Raw Count"
"dbd793a8-1b32-480d-9366-bb7b45c14549","unstranded",0.882428995343415,0.937980184181131,"Transcript","Raw Count"
"e96d9259-bbe6-461a-9f11-37f985253dea","unstranded",0.891487967924204,0.940647295656375,"Transcript","Raw Count"
"e9fae13c-4513-4afe-a03f-a2f90bff3f3c","unstranded",0.879697109882349,0.946847501285788,"Transcript","Raw Count"
"ERR2539101","reverse",0.835764677074363,0.945625094078195,"Transcript","Raw Count"
"ERR2539158","reverse",0.912424978236229,0.930389115868254,"Transcript","Raw Count"
"SRR11355830","reverse",0.940468618131427,0.967857972297146,"Transcript","Raw Count"
"SRR14189737","unstranded",0.907416760552524,0.96065994899628,"Transcript","Raw Count"
"SRR7411440","reverse",0.935097097822759,0.962547525889858,"Transcript","Raw Count"
"SRR7411445","reverse",0.955819449663436,0.974007207341122,"Transcript","Raw Count"
"SRR7961323","unstranded",0.952077850851909,0.9689258812628,"Transcript","Raw Count"
"SRR8528594","reverse",0.91517473306273,0.959439968761499,"Transcript","Raw Count"
"0b72f9e4-598b-4eb2-addc-9d23aeadd6a8","unstranded",0.887651485179671,0.983445439805495,"Transcript","CPM"
"2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c","unstranded",0.908521416821312,0.984367666454169,"Transcript","CPM"
"2ea4421b-3693-4689-947f-da0c9da8b888","unstranded",0.888256170369242,0.982763798253176,"Transcript","CPM"
"364ef418-4b6a-4a3e-84f9-57ca755e1101","unstranded",0.883524675517214,0.982739976019977,"Transcript","CPM"
"4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9","unstranded",0.877378237728988,0.98256575978367,"Transcript","CPM"
"514a93da-9c6d-4030-8ce2-d470861690d3","unstranded",0.896924486855357,0.984527139316313,"Transcript","CPM"
"5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22","unstranded",0.888407265033329,0.984178746476696,"Transcript","CPM"
"7cb4e820-bf76-406f-a0df-dc6d06b2e935","unstranded",0.883160105219713,0.981940398184606,"Transcript","CPM"
"8982e051-d476-4b65-a541-663f3f2892f2","unstranded",0.87963082349986,0.981229250724921,"Transcript","CPM"
"a4a420c8-a195-4077-b621-6f8bfa02b39b","unstranded",0.89328449828782,0.982348596960512,"Transcript","CPM"
"a71a46bf-206a-4ef4-8878-1451e351a6bf","unstranded",0.873960041312345,0.967301705771419,"Transcript","CPM"
"b0a12dfa-fb35-4b78-9886-47354d0f521e","unstranded",0.869094819506217,0.982361411084432,"Transcript","CPM"
"cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe","unstranded",0.883470860724103,0.985001775022077,"Transcript","CPM"
"d90389dc-120f-4e74-b3f0-8d3ac60bd3c4","unstranded",0.893492793200052,0.981264783314597,"Transcript","CPM"
"dbd793a8-1b32-480d-9366-bb7b45c14549","unstranded",0.882428995343415,0.981526729041521,"Transcript","CPM"
"e96d9259-bbe6-461a-9f11-37f985253dea","unstranded",0.891487967924204,0.984388329121455,"Transcript","CPM"
"e9fae13c-4513-4afe-a03f-a2f90bff3f3c","unstranded",0.879697109882349,0.985817856958616,"Transcript","CPM"
"ERR2539101","reverse",0.835764677074363,0.977697449269167,"Transcript","CPM"
"ERR2539158","reverse",0.912424978236229,0.962548431706958,"Transcript","CPM"
"SRR11355830","reverse",0.940468618131427,0.985541774625862,"Transcript","CPM"
"SRR14189737","unstranded",0.907416760552524,0.98403848077326,"Transcript","CPM"
"SRR7411440","reverse",0.935097097822759,0.974936541280188,"Transcript","CPM"
"SRR7411445","reverse",0.955819449663436,0.98556466053167,"Transcript","CPM"
"SRR7961323","unstranded",0.952077850851909,0.981937868169659,"Transcript","CPM"
"SRR8528594","reverse",0.91517473306273,0.983215308458554,"Transcript","CPM"
